gene_1,gene_2,corr,rank
Mp1g00010,Mp1g00020,0.7436001010156346,2
Mp1g00010,Mp1g00030,0.10677718497922649,9
Mp1g00010,Mp1g00040,0.1512010420071707,8
Mp1g00010,Mp1g00050,0.856611321548679,1
Mp1g00010,Mp1g00060,0.25301244941532475,7
Mp1g00010,Mp1g00070,0.5487900884664945,6
Mp1g00010,Mp1g00080,0.6009383230107381,4
Mp1g00010,Mp1g00090,0.5928744169781327,5
Mp1g00010,Mp1g00100,0.6292332665250562,4
Mp1g00020,Mp1g00030,0.12753767908664326,9
Mp1g00020,Mp1g00040,0.14247294513679926,8
Mp1g00020,Mp1g00050,0.6430730638410094,2
Mp1g00020,Mp1g00060,0.29615897775976546,7
Mp1g00020,Mp1g00070,0.4348377509486227,6
Mp1g00020,Mp1g00080,0.5615845222275365,5
Mp1g00020,Mp1g00090,0.4430158787187726,5
Mp1g00020,Mp1g00100,0.5027156670468943,5
Mp1g00030,Mp1g00040,-0.13145328732806638,9
Mp1g00030,Mp1g00050,-0.01786772321241977,9
Mp1g00030,Mp1g00060,0.3635535114418448,1
Mp1g00030,Mp1g00070,0.024600844062431713,8
Mp1g00030,Mp1g00080,0.015698355340918766,9
Mp1g00030,Mp1g00090,0.016013765660455998,9
Mp1g00030,Mp1g00100,0.03729156790797264,9
Mp1g00040,Mp1g00050,0.1535245884668554,8
Mp1g00040,Mp1g00060,0.03115077407103255,9
Mp1g00040,Mp1g00070,-0.005558257267713728,9
Mp1g00040,Mp1g00080,0.013531521382703549,9
Mp1g00040,Mp1g00090,0.07155226370031915,8
Mp1g00040,Mp1g00100,0.09233361382788027,8
Mp1g00050,Mp1g00060,0.28759791437368637,7
Mp1g00050,Mp1g00070,0.48401239355208864,5
Mp1g00050,Mp1g00080,0.49404295869189324,6
Mp1g00050,Mp1g00090,0.43755804278383725,6
Mp1g00050,Mp1g00100,0.46889182304438837,6
Mp1g00060,Mp1g00070,0.09921638373670608,8
Mp1g00060,Mp1g00080,0.19681476106069362,7
Mp1g00060,Mp1g00090,0.10887429477143039,7
Mp1g00060,Mp1g00100,0.11987641356247943,7
Mp1g00070,Mp1g00080,0.7033390466589473,3
Mp1g00070,Mp1g00090,0.5478735190017964,4
Mp1g00070,Mp1g00100,0.6302862400153398,3
Mp1g00080,Mp1g00090,0.8306547738654992,2
Mp1g00080,Mp1g00100,0.8368308117420755,2
Mp1g00090,Mp1g00100,0.9601759108762451,1
